# STN,YYYYMMDD,   FG,   TG,   RH,   PG,   NG,   UG
344,19881101,46,80,0,10221,4,82
344,19881102,36,67,27,10241,,81
344,19881103,26,15,0,10340,1,77
344,19881104,51,12,0,10308,0,67
344,19881105,,22,0,10247,3,73
344,19881106,21,47,0,10234,5,93
344,19881107,26,27,0,10234,6,99
344,19881108,51,62,0,,4,77
344,19881109,46,98,15,10146,8,83
344,19881110,51,132,-1,10167,7,92
344,19881111,26,132,-1,10217,8,95
344,19881112,26,104,152,10229,8,99
344,19881113,57,90,0,10262,5,78
344,19881114,41,91,0,10309,5,89
344,19881115,15,80,0,,5,94
344,19881116,,67,0,10294,3,94
344,19881117,57,67,8,10189,6,94
344,19881118,72,96,6,10163,7,85
344,19881119,26,50,30,10228,7,88
344,19881120,31,18,69,10117,5,90
344,19881121,15,-14,0,10223,1,86
344,19881122,46,,12,10256,5,86
344,19881123,26,63,23,10273,6,94
344,19881124,21,69,5,10287,7,91
344,19881125,21,72,-1,10250,7,90
344,19881126,15,65,0,10232,7,89
344,19881127,26,66,1,10264,6,89
344,19881128,87,66,7,10158,8,88
344,19881129,62,82,6,10091,6,80
344,19881130,46,93,190,9963,8,96
344,19881201,46,14,45,9999,8,96
344,19881202,26,10,-1,10031,8,99
344,19881203,46,57,68,,8,93
344,19881204,82,83,82,9946,7,85
344,19881205,93,72,6,10021,5,76
344,19881206,87,68,36,10099,5,81
344,19881207,46,61,7,10273,4,84
344,19881208,51,73,28,10292,7,94
344,19881209,36,84,43,10271,8,94
344,19881210,67,104,-1,10274,7,90
344,19881211,72,96,-1,10285,8,84
344,19881212,77,83,10,10274,6,85
344,19881213,46,81,1,10337,7,89
344,19881214,46,81,-1,10343,7,85
344,19881215,57,85,-1,10308,8,94
344,19881216,26,74,19,10259,8,94
344,19881217,31,54,-1,10261,4,92
344,19881218,77,80,105,10237,7,92
344,19881219,118,87,83,10093,7,88
344,19881220,,58,3,10225,5,86
344,19881221,62,92,35,10240,8,97
344,19881222,93,99,0,10207,7,84
344,19881223,103,97,16,10108,7,87
344,19881224,72,80,29,10169,6,87
344,19881225,41,100,-1,10259,7,95
344,19881226,67,103,0,10245,6,87
344,19881227,57,91,28,10253,6,94
344,19881228,41,95,-1,10325,7,96
344,19881229,41,77,0,10368,8,96
344,19881230,36,64,-1,10367,8,99
344,19881231,26,71,0,10382,7,97
344,19890101,15,72,0,10385,8,87
344,19890102,15,63,0,10371,6,86
344,19890103,41,36,0,10324,7,88
344,19890104,67,35,36,10279,7,92
344,19890105,57,57,53,10230,7,89
344,19890106,41,81,28,10130,8,97
344,19890107,41,77,-1,10220,7,94
344,19890108,51,94,-1,10213,8,98
344,19890109,62,84,4,10162,8,97
344,19890110,46,65,27,10189,5,94
344,19890111,46,38,0,10227,5,93
344,19890112,72,68,36,10159,5,90
344,19890113,67,59,0,10293,4,88
344,19890114,82,80,19,10289,4,85
344,19890115,82,84,0,10342,5,87
344,19890116,62,87,0,10325,7,86
344,19890117,46,50,18,10316,6,96
344,19890118,26,22,0,10374,5,100
344,19890119,26,23,0,10359,8,98
344,19890120,41,27,-1,10288,8,90
344,19890121,57,50,9,10156,7,92
344,19890122,31,53,-1,10282,4,93
344,19890123,51,43,0,10337,4,92
344,19890124,36,11,0,10324,8,100
344,19890125,36,6,0,10281,6,90
344,19890126,41,32,0,10281,1,82
344,19890127,57,53,0,10324,2,77
344,19890128,57,55,-1,10336,3,84
344,19890129,26,34,0,10416,2,96
344,19890130,41,58,0,10420,1,94
344,19890131,21,35,0,10423,6,99
344,19890201,41,19,-1,10367,8,97
344,19890202,41,12,-1,10351,8,94
344,19890203,57,21,0,10315,8,100
344,19890204,77,28,-1,10262,8,95
344,19890205,67,78,37,10252,5,88
344,19890206,93,100,0,10293,3,89
344,19890207,67,97,0,10293,2,85
344,19890208,26,65,0,10280,2,90
344,19890209,26,63,0,10217,3,85
344,19890210,31,65,0,10264,1,78
344,19890211,46,70,0,10364,4,88
344,19890212,77,71,18,10339,5,86
344,19890213,72,54,76,10274,5,87
344,19890214,103,66,1,10258,5,73
344,19890215,93,78,3,10148,7,85
344,19890216,67,40,1,10190,3,74
344,19890217,46,37,23,10168,7,84
344,19890218,103,108,69,10108,8,93
344,19890219,82,115,37,10173,8,91
344,19890220,62,72,1,10231,5,81
344,19890221,15,44,0,10250,4,83
344,19890222,57,55,41,10124,6,83
344,19890223,62,59,2,10043,5,81
344,19890224,62,49,5,9867,6,82
344,19890225,87,58,40,9639,7,83
344,19890226,103,52,60,9621,6,85
344,19890227,87,53,80,9752,7,86
344,19890228,77,50,61,9840,5,86
344,19890301,103,65,94,9898,7,89
344,19890302,57,68,67,10017,7,92
344,19890303,41,77,5,10011,7,95
344,19890304,57,91,6,10155,7,92
344,19890305,36,117,1,10191,7,87
344,19890306,41,128,0,10164,5,76
344,19890307,51,93,182,10160,7,92
344,19890308,67,63,22,10194,4,83
344,19890309,67,85,3,10201,7,80
344,19890310,62,108,-1,10189,6,76
344,19890311,31,92,5,10235,7,89
344,19890312,36,87,9,10163,6,84
344,19890313,103,88,1,10098,5,75
344,19890314,77,80,14,10134,6,78
344,19890315,72,75,59,9977,7,92
344,19890316,41,56,114,9951,8,97
344,19890317,51,38,97,10075,5,87
344,19890318,46,44,-1,10197,3,74
344,19890319,72,78,4,10148,8,86
344,19890320,51,74,2,10064,6,81
344,19890321,72,61,66,10061,7,85
344,19890322,98,93,21,10082,7,88
344,19890323,103,62,20,10169,5,74
344,19890324,118,87,145,10051,7,88
344,19890325,67,69,0,10175,3,74
344,19890326,36,110,0,10206,5,78
344,19890327,46,143,0,10121,5,67
344,19890328,46,129,0,10135,5,77
344,19890329,36,109,0,10226,6,77
344,19890330,46,107,-1,10203,3,84
344,19890331,21,110,0,10175,1,88
344,19890401,46,85,0,10138,4,85
344,19890402,62,52,0,10094,5,60
344,19890403,67,46,-1,10101,6,51
344,19890404,72,23,37,10052,8,78
344,19890405,51,43,2,9970,8,83
344,19890406,62,46,89,9977,8,97
344,19890407,77,78,57,10058,5,84
344,19890408,46,80,-1,10118,3,82
344,19890409,46,100,-1,10108,5,65
344,19890410,62,120,2,10009,7,80
344,19890411,77,104,74,9993,6,85
344,19890412,31,95,-1,9968,6,90
